experiment,label,precision,recall,f1
1,Distraction,0.38461538461538464,0.17857142857142858,0.24390243902439027
1,Exaggeration/Minimisation,0.2,0.37037037037037035,0.2597402597402597
1,Bandwagon,0.23076923076923078,0.42857142857142855,0.3
1,Flag-waving,0.3870967741935484,0.5714285714285714,0.4615384615384615
1,Doubt,0.15789473684210525,0.375,0.22222222222222218
1,Black-and-white Fallacy/Dictatorship,0.3472222222222222,0.4716981132075472,0.4
1,Thought-terminating cliché,0.18681318681318682,0.4473684210526316,0.2635658914728682
1,Appeal to fear/prejudice,0.17142857142857143,0.4444444444444444,0.2474226804123711
1,Presenting Irrelevant Data (Red Herring),0.0,0.0,0.0
1,Repetition,0.3235294117647059,0.4782608695652174,0.3859649122807018
1,Appeal to authority,0.6578947368421053,0.7936507936507936,0.7194244604316548
1,Reductio ad hitlerum,0.0,0.0,0.0
1,Ad Hominem,0.6986899563318777,0.6530612244897959,0.6751054852320675
1,Name calling/Labeling,0.47761194029850745,0.5517241379310345,0.5119999999999999
1,Whataboutism,0.02631578947368421,0.047619047619047616,0.03389830508474576
1,Smears,0.49710982658959535,0.6056338028169014,0.546031746031746
1,Causal Oversimplification,0.1282051282051282,0.23809523809523808,0.16666666666666666
1,"Obfuscation, Intentional vagueness, Confusion",0.0,0.0,0.0
1,Logos,0.7307692307692307,0.6653696498054474,0.6965376782077393
1,Glittering generalities (Virtue),0.20512820512820512,0.4444444444444444,0.2807017543859649
1,Slogans,0.28735632183908044,0.5,0.36496350364963503
1,Misrepresentation of Someone's Position (Straw Man),0.0,0.0,0.0
1,Loaded Language,0.4782608695652174,0.5703703703703704,0.5202702702702703
2,Slogans,0.379746835443038,0.6,0.46511627906976744
2,Appeal to authority,0.5925925925925926,0.7619047619047619,0.6666666666666666
2,Repetition,0.3333333333333333,0.4782608695652174,0.3928571428571428
2,Bandwagon,0.15789473684210525,0.42857142857142855,0.23076923076923078
2,Ad Hominem,0.6995708154506438,0.6653061224489796,0.6820083682008368
2,Appeal to fear/prejudice,0.125,0.3333333333333333,0.18181818181818182
2,Exaggeration/Minimisation,0.18604651162790697,0.2962962962962963,0.22857142857142856
2,Whataboutism,0.13636363636363635,0.2857142857142857,0.1846153846153846
2,Reductio ad hitlerum,0.0,0.0,0.0
2,Smears,0.5303867403314917,0.676056338028169,0.5944272445820433
2,Causal Oversimplification,0.07692307692307693,0.14285714285714285,0.1
2,Presenting Irrelevant Data (Red Herring),0.0,0.0,0.0
2,Misrepresentation of Someone's Position (Straw Man),0.0,0.0,0.0
2,Logos,0.7543859649122807,0.669260700389105,0.7092783505154638
2,Flag-waving,0.3548387096774194,0.5238095238095238,0.4230769230769231
2,"Obfuscation, Intentional vagueness, Confusion",0.0,0.0,0.0
2,Doubt,0.12698412698412698,0.3333333333333333,0.1839080459770115
2,Glittering generalities (Virtue),0.2857142857142857,0.6111111111111112,0.3893805309734514
2,Name calling/Labeling,0.41216216216216217,0.5258620689655172,0.4621212121212121
2,Distraction,0.3333333333333333,0.03571428571428571,0.06451612903225806
2,Thought-terminating cliché,0.18446601941747573,0.5,0.2695035460992908
2,Loaded Language,0.4327485380116959,0.5481481481481482,0.48366013071895425
2,Black-and-white Fallacy/Dictatorship,0.37037037037037035,0.37735849056603776,0.3738317757009346
3,Presenting Irrelevant Data (Red Herring),0.043478260869565216,0.25,0.07407407407407408
3,Thought-terminating cliché,0.22608695652173913,0.6842105263157895,0.33986928104575165
3,Ad Hominem,0.7124463519313304,0.6775510204081633,0.694560669456067
3,Doubt,0.1694915254237288,0.4166666666666667,0.24096385542168672
3,Smears,0.5227272727272727,0.647887323943662,0.5786163522012578
3,Misrepresentation of Someone's Position (Straw Man),0.0,0.0,0.0
3,Name calling/Labeling,0.44155844155844154,0.5862068965517241,0.5037037037037037
3,Repetition,0.25,0.6086956521739131,0.35443037974683544
3,Glittering generalities (Virtue),0.25263157894736843,0.6666666666666666,0.366412213740458
3,Distraction,0.0,0.0,0.0
3,Black-and-white Fallacy/Dictatorship,0.30434782608695654,0.2641509433962264,0.2828282828282829
3,Flag-waving,0.38333333333333336,0.5476190476190477,0.4509803921568628
3,Logos,0.7285067873303167,0.6264591439688716,0.6736401673640167
3,Causal Oversimplification,0.15384615384615385,0.2857142857142857,0.2
3,Appeal to fear/prejudice,0.1724137931034483,0.5555555555555556,0.26315789473684215
3,"Obfuscation, Intentional vagueness, Confusion",0.0,0.0,0.0
3,Appeal to authority,0.5875,0.746031746031746,0.6573426573426574
3,Bandwagon,0.22727272727272727,0.7142857142857143,0.3448275862068965
3,Loaded Language,0.4411764705882353,0.5555555555555556,0.49180327868852464
3,Slogans,0.2638888888888889,0.38,0.3114754098360656
3,Reductio ad hitlerum,0.0,0.0,0.0
3,Whataboutism,0.07692307692307693,0.2857142857142857,0.12121212121212123
3,Exaggeration/Minimisation,0.34375,0.4074074074074074,0.37288135593220334
4,Black-and-white Fallacy/Dictatorship,0.36,0.16981132075471697,0.23076923076923075
4,Glittering generalities (Virtue),0.44,0.3055555555555556,0.36065573770491804
4,Repetition,0.5,0.21739130434782608,0.30303030303030304
4,Slogans,0.48484848484848486,0.32,0.38554216867469876
4,Doubt,0.375,0.125,0.1875
4,Name calling/Labeling,0.5180722891566265,0.3706896551724138,0.43216080402010054
4,Exaggeration/Minimisation,0.375,0.1111111111111111,0.17142857142857143
4,Ad Hominem,0.6986899563318777,0.6530612244897959,0.6751054852320675
4,Causal Oversimplification,0.1111111111111111,0.047619047619047616,0.06666666666666667
4,Distraction,0.38461538461538464,0.17857142857142858,0.24390243902439027
4,Misrepresentation of Someone's Position (Straw Man),0.0,0.0,0.0
4,Flag-waving,0.5,0.3333333333333333,0.4
4,Thought-terminating cliché,0.3888888888888889,0.18421052631578946,0.25
4,Logos,0.7307692307692307,0.6653696498054474,0.6965376782077393
4,Presenting Irrelevant Data (Red Herring),0.0,0.0,0.0
4,Smears,0.5508474576271186,0.45774647887323944,0.5
4,Reductio ad hitlerum,0.0,0.0,0.0
4,"Obfuscation, Intentional vagueness, Confusion",0.0,0.0,0.0
4,Appeal to fear/prejudice,0.26666666666666666,0.14814814814814814,0.19047619047619047
4,Loaded Language,0.5520833333333334,0.3925925925925926,0.4588744588744589
4,Whataboutism,0.1111111111111111,0.047619047619047616,0.06666666666666667
4,Appeal to authority,0.75,0.7142857142857143,0.7317073170731706
4,Bandwagon,0.6,0.42857142857142855,0.5
5,"Exaggeration/Minimisation",0.5,0.1111111111111111,0.1818181818181818
5,"Whataboutism",0.2,0.047619047619047616,0.07692307692307693
5,"Bandwagon",0.75,0.42857142857142855,0.5454545454545454
5,"Presenting Irrelevant Data (Red Herring)",0.0,0.0,0.0
5,"Smears",0.5819672131147541,0.5,0.537878787878788
5,"Distraction",0.2,0.03571428571428571,0.06060606060606061
5,"Thought-terminating cliché",0.5,0.18421052631578946,0.2692307692307692
5,"Loaded Language",0.5934065934065934,0.4,0.4778761061946903
5,"Logos",0.755,0.5875486381322957,0.6608315098468271
5,"Appeal to fear/prejudice",0.3684210526315789,0.25925925925925924,0.30434782608695654
5,"Causal Oversimplification",0.2,0.047619047619047616,0.07692307692307693
5,"Reductio ad hitlerum",0.0,0.0,0.0
5,"Doubt",0.35294117647058826,0.25,0.2926829268292683
5,"Repetition",0.6,0.13043478260869565,0.21428571428571427
5,"Name calling/Labeling",0.5263157894736842,0.3448275862068966,0.4166666666666667
5,"Glittering generalities (Virtue)",0.5,0.25,0.3333333333333333
5,"Black-and-white Fallacy/Dictatorship",0.288135593220339,0.32075471698113206,0.30357142857142855
5,"Flag-waving",0.5428571428571428,0.4523809523809524,0.49350649350649345
5,"Ad Hominem",0.7318435754189944,0.5346938775510204,0.6179245283018867
5,"Misrepresentation of Someone's Position (Straw Man)",0.0,0.0,0.0
5,"Slogans",0.34782608695652173,0.32,0.3333333333333333
5,"Appeal to authority",0.6984126984126984,0.6984126984126984,0.6984126984126984
5,"Obfuscation, Intentional vagueness, Confusion",0.0,0.0,0.0
6,"Doubt",0.375,0.125,0.1875
6,"Presenting Irrelevant Data (Red Herring)",0.0,0.0,0.0
6,"Slogans",0.48484848484848486,0.32,0.38554216867469876
6,"Appeal to fear/prejudice",0.26666666666666666,0.14814814814814814,0.19047619047619047
6,"Exaggeration/Minimisation",0.375,0.1111111111111111,0.17142857142857143
6,"Obfuscation, Intentional vagueness, Confusion",0.0,0.0,0.0
6,"Causal Oversimplification",0.1111111111111111,0.047619047619047616,0.06666666666666667
6,"Black-and-white Fallacy/Dictatorship",0.36,0.16981132075471697,0.23076923076923075
